Ubicacion,Tipo
campos,Municipio
capdepera,Municipio
castell,Municipio
ciutadella menorca,Municipio
consell,Municipio
costitx,Municipio
deya,Municipio
eivissa,Municipio
escorca,Municipio
esporles,Municipio
estellencs,Municipio
felanitx,Municipio
ferreries,Municipio
formentera,Municipio
fornalutx,Municipio
inca,Municipio
lloret vistalegre,Municipio
lloseta,Municipio
llubi,Municipio
llucmajor,Municipio
mahon,Municipio
manacor,Municipio
mancor vall,Municipio
maria salut,Municipio
marratxi,Municipio
mercadal,Municipio
migjorn,Municipio
montuiri,Municipio
muro,Municipio
palma mallorca,Municipio
petra,Municipio
pobla,Municipio
pollenca,Municipio
porreres,Municipio
puigpunyent,Municipio
salines,Municipio
sant antoni portmany,Municipio
sant joan,Municipio
sant joan labritja,Municipio
sant josep talaia,Municipio
sant llorenc cardassar,Municipio
sant lluis,Municipio
santa eugenia,Municipio
santa eulalia,Municipio
santa margalida,Municipio
santa maria cami,Municipio
santanyi,Municipio
selva,Municipio
sencelles,Municipio
sineu,Municipio
soller,Municipio
servera,Municipio
valldemossa,Municipio
vilafranca bonany,Municipio
abrera,Municipio
aguilar segarra,Municipio
aiguafreda,Municipio
alella,Municipio
alpens,Municipio
ametlla valles,Municipio
arenys,Municipio
arenys munt,Municipio
argencola,Municipio
argentona,Municipio
artes,Municipio
avia,Municipio
avinyo,Municipio
avinyonet penedes,Municipio
badalona,Municipio
badia valles,Municipio
baga,Municipio
balenya,Municipio
balsareny,Municipio
barbera valles,Municipio
barcelona,Municipio
begues,Municipio
bellprat,Municipio
berga,Municipio
bigues riells,Municipio
borreda,Municipio
bruc,Municipio
brull,Municipio
cabanyes,Municipio
cabrera,Municipio
cabrera,Municipio
cabrils,Municipio
calaf,Municipio
calders,Municipio
caldes montbui,Municipio
caldes,Municipio
calella,Municipio
calldetenes,Municipio
callus,Municipio
calonge segarra,Municipio
campins,Municipio
canet,Municipio
canovelles,Municipio
canoves samalus,Municipio
canyelles,Municipio
capellades,Municipio
capolat,Municipio
cardedeu,Municipio
cardona,Municipio
carme,Municipio
casserres,Municipio
castell,Municipio
castellar,Municipio
castellar,Municipio
castellar valles,Municipio
castellbell vilar,Municipio
castellbisbal,Municipio
castellcir,Municipio
castelldefels,Municipio
castellet gornal,Municipio
castellfollit riubregos,Municipio
castellfollit boix,Municipio
castellgali,Municipio
castellnou bages,Municipio
castelloli,Municipio
castelltercol,Municipio
castellvi marca,Municipio
castellvi rosanes,Municipio
centelles,Municipio
cercs,Municipio
cerdanyola valles,Municipio
cervello,Municipio
collbato,Municipio
collsuspina,Municipio
copons,Municipio
corbera llobregat,Municipio
cornella llobregat,Municipio
cubelles,Municipio
dosrius,Municipio
esparreguera,Municipio
esplugues llobregat,Municipio
espunyola,Municipio
estany,Municipio
figaro montmany,Municipio
figols,Municipio
fogars selva,Municipio
fogars montclus,Municipio
folgueroles,Municipio
fonollosa,Municipio
font rubi,Municipio
franqueses valles,Municipio
gaia,Municipio
gallifa,Municipio
garriga,Municipio
gava,Municipio
gelida,Municipio
gironella,Municipio
gisclareny,Municipio
granada,Municipio
granera,Municipio
granollers,Municipio
gualba,Municipio
guardiola bergueda,Municipio
gurb,Municipio
hospitalet llobregat,Municipio
hostalets pierola,Municipio
igualada,Municipio
jorba,Municipio
llacuna,Municipio
llagosta,Municipio
llica,Municipio
llica vall,Municipio
llinars valles,Municipio
lluca,Municipio
malgrat,Municipio
malla,Municipio
manlleu,Municipio
manresa,Municipio
marganell,Municipio
martorell,Municipio
martorelles,Municipio
masies roda,Municipio
masies voltrega,Municipio
masnou,Municipio
masquefa,Municipio
matadepera,Municipio
mataro,Municipio
mediona,Municipio
moia,Municipio
molins,Municipio
mollet valles,Municipio
monistrol calders,Municipio
monistrol montserrat,Municipio
montcada reixac,Municipio
montclar,Municipio
montesquiu,Municipio
montgat,Municipio
montmajor,Municipio
montmaneu,Municipio
montmelo,Municipio
montornes valles,Municipio
montseny,Municipio
muntanyola,Municipio
mura,Municipio
navarcles,Municipio
navas,Municipio
bergueda,Municipio
odena,Municipio
olerdola,Municipio
olesa bonesvalls,Municipio
olesa montserrat,Municipio
olivella,Municipio
olost,Municipio
olvan,Municipio
oris,Municipio
orista,Municipio
orpi,Municipio
orrius,Municipio
pacs penedes,Municipio
palafolls,Municipio
palau solita plegamans,Municipio
palleja,Municipio
palma cervello,Municipio
papiol,Municipio
parets valles,Municipio
perafita,Municipio
piera,Municipio
pineda,Municipio
penedes,Municipio
pobla claramunt,Municipio
pobla lillet,Municipio
polinya,Municipio
pont vilomara rocafort,Municipio
pontons,Municipio
prat llobregat,Municipio
prats llucanes,Municipio
prats,Municipio
premia dalt,Municipio
premia,Municipio
puigdalber,Municipio
puig reig,Municipio
pujalt,Municipio
quar,Municipio
rajadell,Municipio
rellinars,Municipio
ripollet,Municipio
roca valles,Municipio
roda,Municipio
rubi,Municipio
rubio,Municipio
rupit pruit,Municipio
sabadell,Municipio
sagas,Municipio
saldes,Municipio
sallent,Municipio
sant adria besos,Municipio
sant agusti llucanes,Municipio
sant andreu barca,Municipio
sant andreu llavaneres,Municipio
sant antoni vilamajor,Municipio
sant bartomeu grau,Municipio
sant llobregat,Municipio
sant llucanes,Municipio
sant cebria vallalta,Municipio
sant celoni,Municipio
sant climent llobregat,Municipio
sant cugat valles,Municipio
sant cugat sesgarrigues,Municipio
sant esteve palautordera,Municipio
sant esteve sesrovires,Municipio
sant feliu codines,Municipio
sant feliu llobregat,Municipio
sant feliu sasserra,Municipio
sant fost campsentelles,Municipio
sant fruitos bages,Municipio
sant hipolit voltrega,Municipio
sant iscle vallalta,Municipio
sant jaume frontanya,Municipio
sant joan vilatorrada,Municipio
sant joan despi,Municipio
sant julia cerdanyola,Municipio
sant julia vilatorta,Municipio
sant just desvern,Municipio
sant llorenc,Municipio
sant llorenc savall,Municipio
sant marti,Municipio
sant marti centelles,Municipio
sant marti tous,Municipio
sant marti sarroca,Municipio
sant marti sesgueioles,Municipio
sant mateu bages,Municipio
sant pere ribes,Municipio
sant pere riudebitlles,Municipio
sant pere torello,Municipio
sant pere vilamajor,Municipio
sant pere sallavinera,Municipio
sant,Municipio
sant quinti mediona,Municipio
sant quirze besora,Municipio
sant quirze valles,Municipio
sant quirze safaja,Municipio
sant sadurni,Municipio
sant sadurni,Municipio
sant salvador guardiola,Municipio
sant vicenc castellet,Municipio
sant vicenc montalt,Municipio
sant vicenc torello,Municipio
sant vicenc dels horts,Municipio
santa cecilia voltrega,Municipio
santa coloma cervello,Municipio
santa coloma gramenet,Municipio
santa eugenia berga,Municipio
santa eulalia riuprimer,Municipio
santa eulalia roncana,Municipio
santa penedes,Municipio
santa margarida montbui,Municipio
santa margarida monjos,Municipio
santa maria besora,Municipio
santa maria corco,Municipio
santa maria martorelles,Municipio
santa maria merles,Municipio
santa maria miralles,Municipio
santa maria palautordera,Municipio
santa maria,Municipio
santa perpetua mogoda,Municipio
santa susanna,Municipio
santpedor,Municipio
sentmenat,Municipio
seva,Municipio
sitges,Municipio
sobremunt,Municipio
sora,Municipio
subirats,Municipio
suria,Municipio
tagamanent,Municipio
talamanca,Municipio
taradell,Municipio
tavernoles,Municipio
tavertet,Municipio
teia,Municipio
terrassa,Municipio
tiana,Municipio
tona,Municipio
tordera,Municipio
torello,Municipio
torre claramunt,Municipio
torrelavit,Municipio
torrelles foix,Municipio
torrelles llobregat,Municipio
ullastrell,Municipio
vacarisses,Municipio
vallbona,Municipio
vallcebre,Municipio
vallgorguina,Municipio
vallirana,Municipio
vallromanes,Municipio
veciana,Municipio
,Municipio
vilada,Municipio
viladecans,Municipio
viladecavalls,Municipio
vilafranca penedes,Municipio
vilalba sasserra,Municipio
vilanova,Municipio
vilanova cami,Municipio
vilanova valles,Municipio
vilanova geltru,Municipio
vilassar dalt,Municipio
vilassar,Municipio
vilobi penedes,Municipio
viver serrateix,Municipio
abajas,Municipio
adrada haza,Municipio
aguas candidas,Municipio
aguilar bureba,Municipio
albillos,Municipio
alcocero mola,Municipio
alfoz bricia,Municipio
alfoz quintanaduenas,Municipio
alfoz santa gadea,Municipio
altable,Municipio
altos,Municipio
ameyugo,Municipio
anguix,Municipio
aranda duero,Municipio
arandilla,Municipio
arauzo miel,Municipio
arauzo salce,Municipio
arauzo torre,Municipio
arcos,Municipio
arenillas riopisuerga,Municipio
arija,Municipio
arlanzon,Municipio
arraya,Municipio
atapuerca,Municipio
ausines,Municipio
avellanosa muno,Municipio
bahabon esgueva,Municipio
balbases,Municipio
banos valdearados,Municipio
banuelos bureba,Municipio
barbadillo herreros,Municipio
barbadillo mercado,Municipio
barbadillo,Municipio
barrio muno,Municipio
barrios bureba,Municipio
barrios colina,Municipio
basconcillos tozo,Municipio
bascunana,Municipio
belbimbre,Municipio
belorado,Municipio
berberana,Municipio
berlangas,Municipio
berzosa bureba,Municipio
bozoo,Municipio
brazacorta,Municipio
briviesca,Municipio
bugedo,Municipio
buniel,Municipio
burgos,Municipio
busto bureba,Municipio
cabanes esgueva,Municipio
cabezon sierra,Municipio
caleruega,Municipio
campillo aranda,Municipio
campolara,Municipio
canicosa sierra,Municipio
cantabrana,Municipio
carazo,Municipio
carcedo bureba,Municipio
carcedo burgos,Municipio
cardenadijo,Municipio
cardenajimeno,Municipio
cardenuela riopico,Municipio
carrias,Municipio
cascajares bureba,Municipio
cascajares sierra,Municipio
castellanos castro,Municipio
castil peones,Municipio
castildelgado,Municipio
castrillo reina,Municipio
castrillo vega,Municipio
castrillo riopisuerga,Municipio
castrillo,Municipio
castrillo matajudios,Municipio
castrojeriz,Municipio
cavia,Municipio
cayuela,Municipio
cebrecos,Municipio
celada camino,Municipio
cerezo tiron,Municipio
cerraton juarros,Municipio
ciadoncha,Municipio
cillaperlata,Municipio
cilleruelo abajo,Municipio
cilleruelo,Municipio
ciruelos cervera,Municipio
cogollos,Municipio
condado trevino,Municipio
contreras,Municipio
